time,reward,1,2,3,4,5,6,7,8,delay,replication
9900,-3040.168,30,12,57,66,16,29,68,31,48.239818572998,8050297
4500,-11.0374,30,16,39,69,15,30,21,15,23.0091743469238,8050297
900,-7.8541,16,30,16,30,16,30,16,30,13.5911169052124,8050297
5400,-30.7877,18,30,43,15,8,30,23,15,23.0091743469238,8050297
1800,-5.2584,7,30,26,47,30,30,42,35,15.1760473251343,8050297
6300,-131.4239,30,30,15,34,14,30,42,35,24.4486923217773,8050297
12600,-19095.8602,30,30,31,15,10,16,24,23,57.7092056274414,8050297
13500,-2054.3122,30,30,26,43,30,30,37,63,43.2256050109863,8050297
13500,-29.0018,30,30,61,15,30,30,42,49,57.7092056274414,8050297
2700,-1.0007,15,30,25,60,14,9,15,15,12.3504981994629,8050297
10800,-11015.813,30,16,34,15,30,20,29,29,51.1328163146973,8050297
3600,-43.9079,23,30,64,15,6,30,21,15,24.4023532867432,8050297
4500,-15.3182,27,30,15,51,5,30,15,19,24.4023532867432,8050297
7200,-163.9779,23,30,18,15,7,30,42,23,23.8334579467773,8050297
14400,-1629.5046,17,30,51,15,30,30,55,32,40.431640625,8050297
11700,-5.6735,14,30,69,15,29,30,29,39,51.1328163146973,8050297
15300,-2848.3377,7,30,26,15,30,30,59,35,40.431640625,8050297
8100,-1241.9747,30,30,26,39,30,30,20,51,44.015495300293,8050297
5400,-18.9444,30,21,15,15,30,11,56,30,21.1880378723145,8050297
14400,-217.9373,30,16,45,15,30,30,29,39,61.0735664367676,8050297
6300,-71.7094,22,5,36,36,30,30,42,58,25.8837032318115,8050297
16200,-4343.2763,7,30,26,15,30,30,42,35,38.4743041992187,8050297
9000,-1528.8381,30,30,26,16,20,30,26,66,48.0416717529297,8050297
7200,-1427.5613,5,30,30,64,30,30,25,15,47.7688522338867,8050297
17100,-324.2892,7,30,26,15,14,30,42,35,38.4743041992187,8050297
12600,-6897.9117,7,30,26,15,30,30,58,35,54.3105697631836,8050297
15300,-6523.8254,30,8,15,42,30,30,37,64,39.3014526367187,8050297
8100,-520.5331,30,30,59,57,30,30,65,64,47.7688522338867,8050297
13500,-14.913,30,30,44,56,30,30,49,64,54.3105697631836,8050297
16200,-79.5589,7,30,26,15,30,30,42,35,39.3014526367187,8050297
9900,-1317.4218,17,30,25,15,30,20,42,60,39.0770111083984,8050297
18000,-523.6333,7,30,35,15,19,30,42,35,41.1541633605957,8050297
18900,-26.1301,7,30,26,15,14,30,42,35,41.1541633605957,8050297
9000,-725.4594,16,30,15,33,30,11,51,68,51.2233810424805,8050297
10800,-1169.921,25,27,60,15,10,30,57,53,39.0770111083984,8050297
17100,-5391.7985,7,30,53,34,14,30,42,35,41.8531074523926,8050297
14400,-27445.0168,8,15,56,29,30,30,49,43,50.4616317749023,8050297
18000,-223.7794,30,30,36,15,14,30,42,35,44.5561866760254,8050297
19800,-565.5749,7,30,26,15,30,30,42,35,31.1327209472656,8050297
11700,-405.2464,30,26,44,50,30,30,29,47,50.2963066101074,8050297
9900,-876.0597,29,30,26,21,9,30,42,35,54.6954612731934,8050297
20700,-251.8482,7,30,26,15,30,30,42,35,9.35011863708496,8050297
12600,-6055.5042,30,30,26,15,30,6,27,29,50.2963066101074,8050297
21600,-1707.4473,7,5,26,15,5,6,15,26,0.649100959300995,8050297
22500,-21146.2587,30,30,62,34,14,30,42,35,0.649100959300995,8050297
15300,-3141.5247,30,30,60,31,30,30,29,42,36.1326103210449,8050297
18900,-234.5638,7,30,26,15,14,30,42,35,39.494213104248,8050297
23400,0,30,30,62,34,14,30,42,35,0,8050297
24300,0,30,30,62,34,14,30,42,35,0,8050297
13500,-5028.325,17,30,26,15,30,30,37,62,54.5056266784668,8050297
10800,-489.3202,20,7,15,34,30,30,40,29,58.5460395812988,8050297
25200,0,30,30,62,34,14,30,42,35,0,8050297
26100,0,30,30,62,34,14,30,42,35,0,8050297
27000,0,30,30,62,34,14,30,42,35,0,8050297
19800,-7779.8881,7,30,26,15,30,30,42,35,42.790699005127,8050297
27900,0,30,30,62,34,14,30,42,35,0,8050297
16200,-1308.4586,7,30,31,15,9,18,29,42,40.6910209655762,8050297
28800,0,30,30,62,34,14,30,42,35,0,8050297
29700,0,30,30,62,34,14,30,42,35,0,8050297
30600,0,30,30,62,34,14,30,42,35,0,8050297
31500,0,30,30,62,34,14,30,42,35,0,8050297
