time,reward,1,2,3,4,5,6,7,8,delay,replication
14400,-9.3315,30,30,62,34,14,30,42,35,43.1898040771484,8050315
15300,-1308.0369,30,30,58,34,14,30,36,33,0,8050315
9900,-125.4107,30,30,62,34,14,30,42,35,25.0572891235352,8050315
8100,-73.3003,30,30,62,34,14,30,42,35,27.0392074584961,8050315
16200,-2018.6772,30,30,62,34,14,30,42,35,0,8050315
17100,0,30,30,62,34,14,30,42,35,0,8050315
12600,-274.8488,30,30,62,34,14,30,42,35,27.1757411956787,8050315
13500,-12.0276,30,30,62,34,14,30,42,35,27.1757411956787,8050315
10800,-50.3998,30,30,62,34,14,30,42,35,22.3230247497559,8050315
9000,-150.816,30,30,62,34,14,30,42,35,25.2125091552734,8050315
11700,-59.0589,30,30,62,34,14,30,42,35,22.3230247497559,8050315
9900,-1.8634,30,30,58,34,30,30,36,33,25.2125091552734,8050315
14400,-187.029,30,30,62,34,14,30,42,35,27.0550060272217,8050315
15300,-94.2707,30,30,58,34,30,30,42,33,0,8050315
16200,-5046.6702,30,30,62,34,14,30,42,35,0,8050315
12600,-146.5501,30,30,62,34,14,30,42,35,29.3019580841064,8050315
17100,0,30,30,62,34,14,30,42,35,0,8050315
18000,0,30,30,62,34,14,30,42,35,0,8050315
10800,-960.7262,30,30,58,34,30,30,36,33,23.4000473022461,8050315
13500,-3.3057,30,30,62,34,14,30,42,35,21.5336513519287,8050315
18900,0,30,30,15,34,14,30,42,35,0,8050315
14400,-36.6174,30,30,62,34,14,30,42,35,0,8050315
19800,0,30,30,62,34,14,30,42,35,0,8050315
15300,-5533.8935,30,30,62,34,14,30,42,35,0,8050315
20700,0,30,30,62,34,14,30,42,35,0,8050315
16200,0,30,30,62,34,14,30,42,35,0,8050315
21600,0,30,30,62,34,14,30,42,35,0,8050315
11700,-304.5122,30,30,62,34,14,30,42,35,27.8673763275146,8050315
17100,0,30,30,62,22,14,30,42,35,0,8050315
22500,0,30,30,62,34,14,30,42,35,0,8050315
18000,0,30,30,62,34,14,30,42,35,0,8050315
23400,0,30,30,62,34,14,30,42,35,0,8050315
18900,0,30,30,62,34,14,30,42,35,0,8050315
24300,0,30,30,62,34,14,30,42,35,0,8050315
19800,0,30,30,62,34,14,30,42,35,0,8050315
25200,0,30,30,62,34,14,30,42,35,0,8050315
12600,-36.9468,30,30,62,34,14,30,42,35,28.1893196105957,8050315
20700,0,30,30,62,34,14,30,42,35,0,8050315
26100,0,30,30,62,34,14,30,42,35,0,8050315
21600,0,30,30,62,34,14,30,42,35,0,8050315
13500,-36.5809,30,30,62,34,14,30,42,35,34.7898483276367,8050315
27000,0,30,30,62,34,14,30,42,35,0,8050315
27900,0,30,30,62,34,14,30,42,35,0,8050315
14400,-1387.5168,30,30,62,34,14,30,42,35,0,8050315
22500,0,30,30,62,34,14,30,42,35,0,8050315
28800,0,30,30,62,34,14,30,42,35,0,8050315
15300,-3944.4574,30,30,62,34,14,30,42,35,0,8050315
23400,0,30,30,62,34,14,30,42,35,0,8050315
29700,0,30,30,62,34,14,30,42,35,0,8050315
16200,0,30,30,62,50,14,30,42,35,0,8050315
24300,0,30,30,38,34,14,30,42,35,0,8050315
30600,0,30,30,62,34,14,30,42,35,0,8050315
17100,0,30,30,62,15,14,30,42,35,0,8050315
25200,0,30,30,62,34,14,30,42,35,0,8050315
31500,0,30,30,62,34,14,30,42,35,0,8050315
26100,0,30,30,62,34,14,30,42,35,0,8050315
