12600 	 -2776.1457 	 1 	 8050322 	 30 	 8 	 15 	 20 	 30 	 30 	 65 	 35 	 178 [] 	 36.008392333984375
13500 	 -2717.7260 	 1 	 8050322 	 11 	 5 	 15 	 69 	 17 	 30 	 39 	 61 	 165 [] 	 38.61943817138672
14400 	 -3342.3356 	 1 	 8050322 	 17 	 30 	 44 	 35 	 30 	 30 	 58 	 61 	 197 [] 	 37.43454360961914
15300 	 -3881.9093 	 2 	 8050322 	 30 	 30 	 65 	 15 	 14 	 30 	 69 	 59 	 190 [] 	 34.7731819152832
16200 	 -5205.8933 	 2 	 8050322 	 30 	 30 	 53 	 18 	 30 	 30 	 69 	 46 	 193 [] 	 38.21064376831055
17100 	 -5496.4289 	 2 	 8050322 	 30 	 29 	 45 	 41 	 19 	 30 	 25 	 15 	 107 [] 	 38.21064376
18000 	 -6062.6071 	 3 	 8050322 	 30 	 30 	 54 	 53 	 30 	 30 	 15 	 45 	 138 [] 	 31.963333129882812
18900 	 -5315.6713 	 3 	 8050322 	 30 	 30 	 63 	 36 	 12 	 30 	 61 	 65 	 186 [] 	 27.221506118774414
19800 	 -7676.8193 	 3 	 8050322 	 17 	 9 	 15 	 20 	 30 	 5 	 15 	 42 	 110 [] 	 23.02004051208496
20700 	 -8451.4503 	 3 	 8050322 	 30 	 30 	 44 	 45 	 30 	 25 	 43 	 22 	 138 [] 	 23.02004051208496
21600 	 -6896.1280 	 3 	 8050322 	 30 	 30 	 36 	 26 	 30 	 30 	 43 	 50 	 171 [] 	 23.97959327697754
22500 	 -7312.1413 	 3 	 8050322 	 17 	 25 	 35 	 44 	 5 	 5 	 20 	 15 	 63 [] 	 23.97959327697754
23400 	 -7828.3977 	 4 	 8050322 	 8 	 16 	 29 	 36 	 30 	 5 	 48 	 43 	 144 [] 	 19.771347045898438
24300 	 -6168.8689 	 4 	 8050322 	 17 	 30 	 30 	 40 	 11 	 20 	 15 	 57 	 121 [] 	 19.771347045898438

